f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9
0.9542220667133193,0.013121063680895731,0.002740844413342664,0.0,0.02985770935386051,0.0,0.0,0.0,0.0,0.0,0.029682761838115232,0.14135759272218335,0.32155353393981806,0.30802425938885003,0.12269652437602052,0.03843013762537905,0.00734779566130161,0.011080009330534173,0.006939584791229298,0.012829484487986938
0.9904362024725916,0.006531373921156987,0.0016911593188710054,0.0006414742243993468,0.00023326335432703523,0.000291579192908794,5.831583858175881e-05,5.831583858175881e-05,0.0,0.0,0.11849778399813389,0.33035922556566366,0.22988103568929322,0.15354560298577094,0.07796827618381152,0.06519710753440634,0.018836015861908095,0.003324002799160252,0.0006997900629811056,0.0016328434802892467
0.986937252157686,0.00874737578726382,0.0034989503149055285,0.0006997900629811056,0.0,5.831583858175881e-05,0.0,0.0,0.0,0.0,0.4065780265920224,0.3901329601119664,0.16310940051317938,0.019710753440634478,0.010030324236062515,0.0008164217401446233,0.002332633543270352,0.0030324236062514577,0.00046652670865407047,0.0037322136692325637
0.05207604385351061,0.8617331467226499,0.005773268019594122,0.0738861674830884,0.0009913692558898997,0.0006414742243993468,0.0007581059015628644,0.002974107767669699,0.00011663167716351762,0.0009913692558898997,0.17337298810356894,0.3311756473058083,0.29012129694425004,0.12677863307674364,0.02793328668066247,0.002624212736179146,0.004082108700723117,0.008455796594355027,0.008514112432936786,0.026883601586190808
0.1754140424539305,0.019127595054816888,0.07639374854210404,0.5543503615581992,0.09587123862841147,0.014987170515512013,0.032365290412876134,0.004665267086540704,0.021285281082341963,0.005481688826685328,0.08030090972708187,0.1569862374620947,0.13949148588756707,0.08852344296710987,0.09225565663634243,0.09785397714019127,0.06047352460928388,0.12561231630510847,0.08811523209703756,0.07032890132960112
0.7755423372988104,0.015103802192675531,0.0015745276417074878,0.1497550734779566,0.005015162118031258,0.0006997900629811056,0.0324236062514579,0.019360858409143925,0.0003498950314905528,0.00011663167716351762,0.01119664100769769,0.05190109633776534,0.07266153487287147,0.13226032190342898,0.2922206671331934,0.08811523209703756,0.10117797993935153,0.0638558432470259,0.132493585257756,0.054058782365290416
0.9830300909727082,0.003557266153487287,0.0025658968975973873,0.0006414742243993468,0.0003498950314905528,0.000583158385817588,0.0003498950314905528,0.008397480755773267,0.00040821087007231167,5.831583858175881e-05,0.12724515978539772,0.4595871238628412,0.2379869372521577,0.08998133893165383,0.046536039188243526,0.015103802192675531,0.014812222999766736,0.006531373921156987,0.0010496850944716584,0.0011080009330534173
0.2170515512013063,0.2170515512013063,0.17360625145789596,0.11884767902962444,0.0625728947982272,0.1313855843247026,0.043736878936319105,0.024201073011429906,0.0075810590156286444,0.00390716118497784,0.09283881502216002,0.10479356193142057,0.10957546069512479,0.11569862374620947,0.06648005598320504,0.08957312806158152,0.09412176347095871,0.08963144390016328,0.12147189176580359,0.11575693958479123
0.939293212036389,0.004432003732213669,0.0011080009330534173,0.001224632610216935,0.0012829484487986936,0.005423372988103569,0.04688593421973408,0.0001749475157452764,0.0,0.00011663167716351762,0.4498483788196874,0.2706438068579426,0.19384184744576627,0.056857942617214836,0.009330534173081408,0.010030324236062515,0.002390949381852111,0.0032073711219967344,0.0016911593188710054,0.002099370188943317
0.9421506881268953,0.05271751807790996,0.002507581059015629,0.0005248425472358292,0.0010496850944716584,0.0006414742243993468,0.0,0.00011663167716351762,5.831583858175881e-05,0.0001749475157452764,0.09727081875437368,0.13243526941917425,0.30073477956613015,0.21623512946116166,0.16800793095404712,0.01708654070445533,0.025367389783065082,0.005015162118031258,0.020468859342197342,0.017319804058782366
